harry@lamp-server:~$ sudo tcpdump -r 0001.pcap
reading from file 0001.pcap, link-type EN10MB (Ethernet), snapshot length 262144
20:27:41.467409 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 2394448859:2394448903, ack 3952204368, win 1207, length 44
20:27:41.467488 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 44:96, ack 1, win 1207, length 52
20:27:41.467761 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 96:196, ack 1, win 1207, length 100
20:27:41.472797 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1:37, ack 4294966956, win 8204, length 36
20:27:41.472922 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 196:232, ack 37, win 1207, length 36
20:27:41.505640 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [.], ack 4294967028, win 8204, length 0
20:27:41.505847 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 37:73, ack 4294967028, win 8204, length 36
20:27:41.505973 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 232:268, ack 73, win 1207, length 36
20:27:41.536538 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 73:109, ack 4294967064, win 8204, length 36
20:27:41.536663 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 268:304, ack 109, win 1207, length 36
20:27:41.568198 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 109:145, ack 4294967100, win 8204, length 36
20:27:41.568337 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 304:340, ack 145, win 1207, length 36
20:27:41.600066 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 145:181, ack 4294967136, win 8204, length 36
20:27:41.600202 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 340:376, ack 181, win 1207, length 36
20:27:41.633453 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 181:217, ack 4294967172, win 8203, length 36
20:27:41.633596 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 376:412, ack 217, win 1207, length 36
20:27:41.664892 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 217:253, ack 4294967208, win 8203, length 36
20:27:41.665037 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 412:448, ack 253, win 1207, length 36
20:27:41.691508 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [.], ack 0, win 8203, length 0
20:27:41.691968 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 253:289, ack 0, win 8203, length 36
20:27:41.692088 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 448:484, ack 289, win 1207, length 36
20:27:41.719942 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [.], ack 196, win 8202, length 0
20:27:41.720047 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 289:325, ack 196, win 8202, length 36
20:27:41.720202 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 484:520, ack 325, win 1207, length 36
20:27:41.753974 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 325:361, ack 232, win 8202, length 36
20:27:41.754053 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 520:556, ack 361, win 1207, length 36
20:27:41.785086 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 361:397, ack 268, win 8202, length 36
20:27:41.785176 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 556:592, ack 397, win 1207, length 36
20:27:41.811529 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 397:433, ack 304, win 8202, length 36
20:27:41.811628 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 592:628, ack 433, win 1207, length 36
20:27:41.842999 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 433:469, ack 340, win 8202, length 36
20:27:41.843158 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 628:664, ack 469, win 1207, length 36
20:27:41.873537 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 469:505, ack 376, win 8201, length 36
20:27:41.873674 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 664:700, ack 505, win 1207, length 36
20:27:41.904650 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 505:541, ack 412, win 8201, length 36
20:27:41.904760 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 700:736, ack 541, win 1207, length 36
20:27:41.917070 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [.], ack 448, win 8207, length 0
20:27:41.935290 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 541:577, ack 448, win 8207, length 36
20:27:41.935436 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 736:772, ack 577, win 1207, length 36
20:27:41.966046 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 577:613, ack 484, win 8207, length 36
20:27:41.966173 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 772:808, ack 613, win 1207, length 36
20:27:41.996536 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 613:649, ack 520, win 8206, length 36
20:27:41.996709 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 808:844, ack 649, win 1207, length 36
20:27:42.027879 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 649:685, ack 556, win 8206, length 36
20:27:42.028110 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 844:880, ack 685, win 1207, length 36
20:27:42.058557 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 685:721, ack 592, win 8206, length 36
20:27:42.058716 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 880:916, ack 721, win 1207, length 36
20:27:42.089502 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 721:757, ack 628, win 8206, length 36
20:27:42.089666 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 916:952, ack 757, win 1207, length 36
20:27:42.120213 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 757:793, ack 664, win 8206, length 36
20:27:42.120373 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 952:988, ack 793, win 1207, length 36
20:27:42.151251 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 793:829, ack 700, win 8206, length 36
20:27:42.151409 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 988:1024, ack 829, win 1207, length 36
20:27:42.182812 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 829:865, ack 736, win 8206, length 36
20:27:42.182999 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1024:1060, ack 865, win 1207, length 36
20:27:42.213357 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 865:901, ack 772, win 8205, length 36
20:27:42.213518 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1060:1096, ack 901, win 1207, length 36
20:27:42.244185 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 901:937, ack 808, win 8205, length 36
20:27:42.244347 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1096:1132, ack 937, win 1207, length 36
20:27:42.274349 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 937:973, ack 844, win 8205, length 36
20:27:42.274564 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1132:1168, ack 973, win 1207, length 36
20:27:42.306236 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 973:1009, ack 880, win 8205, length 36
20:27:42.306402 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1168:1204, ack 1009, win 1207, length 36
20:27:42.336694 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1009:1045, ack 916, win 8205, length 36
20:27:42.336846 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1204:1240, ack 1045, win 1207, length 36
20:27:42.367916 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1045:1081, ack 952, win 8205, length 36
20:27:42.368094 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1240:1276, ack 1081, win 1207, length 36
20:27:42.398834 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1081:1117, ack 988, win 8205, length 36
20:27:42.398980 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1276:1312, ack 1117, win 1207, length 36
20:27:42.429489 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1117:1153, ack 1024, win 8205, length 36
20:27:42.429627 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1312:1348, ack 1153, win 1207, length 36
20:27:42.460565 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1153:1189, ack 1060, win 8204, length 36
20:27:42.460766 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1348:1384, ack 1189, win 1207, length 36
20:27:42.492160 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1189:1225, ack 1096, win 8204, length 36
20:27:42.492312 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1384:1420, ack 1225, win 1207, length 36
20:27:42.522404 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1225:1261, ack 1132, win 8204, length 36
20:27:42.522554 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1420:1456, ack 1261, win 1207, length 36
20:27:42.553225 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1261:1297, ack 1168, win 8204, length 36
20:27:42.553388 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1456:1492, ack 1297, win 1207, length 36
20:27:42.584918 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1297:1333, ack 1204, win 8204, length 36
20:27:42.585090 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1492:1528, ack 1333, win 1207, length 36
20:27:42.616362 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1333:1369, ack 1240, win 8204, length 36
20:27:42.616522 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1528:1564, ack 1369, win 1207, length 36
20:27:42.647536 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1369:1405, ack 1276, win 8204, length 36
20:27:42.647708 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1564:1600, ack 1405, win 1207, length 36
20:27:42.678291 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1405:1441, ack 1312, win 8203, length 36
20:27:42.678468 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1600:1636, ack 1441, win 1207, length 36
20:27:42.708637 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1441:1477, ack 1348, win 8203, length 36
20:27:42.708830 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1636:1672, ack 1477, win 1207, length 36
20:27:42.739695 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1477:1513, ack 1384, win 8203, length 36
20:27:42.739851 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1672:1708, ack 1513, win 1207, length 36
20:27:42.770019 IP mail.quikebuy.com.6965 > lamp-server.internal.cloudapp.net.ssh: Flags [P.], seq 1513:1549, ack 1420, win 8203, length 36
20:27:42.770189 IP lamp-server.internal.cloudapp.net.ssh > mail.quikebuy.com.6965: Flags [P.], seq 1708:1744, ack 1549, win 1207, length 36
